,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
145,02-Sep-2021,BE,"1,060.00","1,090.00","1,059.00","1,079.80","1,083.05","1,085.35","1,082.20","1,196.20",874.8,1483278,"1,605,206,498.90",18323,1085.35,0.00512667681758483
146,03-Sep-2021,BE,"1,097.00","1,097.50","1,061.20","1,085.35","1,080.10","1,081.35","1,079.37","1,196.20",874.8,1093470,"1,180,257,948.75",18345,1081.35,-0.0036922550830738032
147,06-Sep-2021,BE,"1,099.00","1,135.00","1,085.20","1,081.35","1,126.00","1,112.75","1,101.52","1,196.20",874.8,674863,"743,378,180.10",32733,1112.75,0.028624168377266557
148,07-Sep-2021,BE,"1,120.00","1,130.00","1,080.00","1,112.75","1,105.55","1,110.05","1,098.34","1,196.20",874.8,244582,"268,634,958.60",11350,1110.05,-0.0024293695590369424
149,08-Sep-2021,BE,"1,091.55","1,165.55","1,091.55","1,110.05","1,165.55","1,158.30","1,142.72","1,170.00",874.8,742832,"848,846,635.85",18317,1158.3,0.0425483536013731
150,09-Sep-2021,BE,"1,170.00","1,216.20","1,148.50","1,158.30","1,216.20","1,215.95","1,196.88","1,216.20",874.8,582097,"696,698,287.20",21879,1215.95,0.04857225132137444
151,13-Sep-2021,EQ,"1,215.00","1,219.90","1,166.05","1,215.95","1,185.00","1,185.20","1,196.09","1,390.00",305.6,713024,"852,838,190.15",24955,1185.2,-0.0256141275602646
152,14-Sep-2021,EQ,"1,189.00","1,208.40","1,133.10","1,185.20","1,149.00","1,149.40","1,165.20","1,390.00",305.6,903673,"1,052,961,051.70",28669,1149.4,-0.03067146962576839
153,15-Sep-2021,EQ,"1,160.50","1,169.00","1,120.00","1,149.40","1,126.75","1,126.95","1,131.92","1,390.00",305.6,568745,"643,773,928.60",29332,1126.95,-0.019725198590362147
154,16-Sep-2021,EQ,"1,137.00","1,180.25","1,110.45","1,126.95","1,165.00","1,169.65","1,148.86","1,390.00",305.6,581390,"667,933,330.45",20405,1169.65,0.03718969025649699
155,17-Sep-2021,EQ,"1,184.00","1,184.00","1,120.00","1,169.65","1,153.00","1,153.25","1,150.45","1,390.00",305.6,821213,"944,761,513.40",30952,1153.25,-0.014120515301846659
156,20-Sep-2021,EQ,"1,145.95","1,145.95","1,112.05","1,153.25","1,121.95","1,131.15","1,130.71","1,390.00",305.6,1781350,"2,014,185,173.10",23304,1131.15,-0.01934922912116388
157,21-Sep-2021,EQ,"1,115.00","1,127.00","1,097.25","1,131.15","1,117.00","1,120.70","1,117.22","1,390.00",325.25,1798120,"2,008,897,997.10",21168,1120.7,-0.009281324258783918
158,22-Sep-2021,EQ,"1,147.40","1,163.50","1,127.05","1,120.70","1,139.95","1,141.55","1,140.31","1,390.00",335.6,2248068,"2,563,500,218.55",36809,1141.55,0.018433497967480506
159,23-Sep-2021,EQ,"1,150.00","1,160.00","1,118.75","1,141.55","1,136.70","1,149.20","1,134.88","1,390.00",351.0,2615150,"2,967,872,123.35",58874,1149.2,0.006679060079672006
160,24-Sep-2021,EQ,"1,149.20","1,159.00","1,125.25","1,149.20","1,147.00","1,151.80","1,142.88","1,390.00",358.0,3334805,"3,811,283,973.95",47793,1151.8,0.0022598879674378125
161,27-Sep-2021,EQ,"1,157.00","1,159.50","1,127.00","1,151.80","1,150.00","1,153.45","1,143.49","1,390.00",378.25,3249556,"3,715,841,514.65",44406,1153.45,0.0014315152645218987
162,28-Sep-2021,EQ,"1,158.00","1,160.00","1,132.25","1,153.45","1,134.00","1,144.50","1,148.40","1,390.00",425.0,3469774,"3,984,699,056.00",38443,1144.5,-0.007789590944472735
163,29-Sep-2021,EQ,"1,130.00","1,149.80","1,111.25","1,144.50","1,129.05","1,138.65","1,140.42","1,390.00",515.65,3694509,"4,213,286,417.40",45831,1138.65,-0.0051245102617345495
164,30-Sep-2021,EQ,"1,139.00","1,159.00","1,125.00","1,138.65","1,144.90","1,146.60","1,142.05","1,390.00",558.85,1551279,"1,771,630,853.10",18372,1146.6,0.006957691343395744
165,01-Oct-2021,EQ,"1,147.95","1,189.90","1,146.60","1,146.60","1,147.50","1,151.05","1,155.46","1,390.00",558.85,447943,"517,580,109.80",29079,1151.05,0.003873527790622333
166,04-Oct-2021,EQ,"1,161.00","1,180.00","1,152.25","1,151.05","1,178.10","1,176.10","1,170.16","1,390.00",660.0,278908,"326,365,837.70",14887,1176.1,0.021529310592085515
167,05-Oct-2021,EQ,"1,203.00","1,230.00","1,199.30","1,176.10","1,220.70","1,222.20","1,218.09","1,390.00",660.0,583547,"710,813,071.40",36344,1222.2,0.038448633603824334
168,06-Oct-2021,EQ,"1,231.90","1,264.80","1,203.30","1,222.20","1,211.00","1,214.60","1,233.23","1,390.00",660.0,375503,"463,081,179.00",24410,1214.6,-0.006237708997339553
169,07-Oct-2021,EQ,"1,225.00","1,237.00","1,202.10","1,214.60","1,208.10","1,205.65","1,213.51","1,390.00",660.0,179544,"217,877,543.60",12385,1205.65,-0.0073959638857612475
170,08-Oct-2021,EQ,"1,219.80","1,220.00","1,152.05","1,205.65","1,183.05","1,176.55","1,190.34","1,390.00",660.0,174740,"208,000,021.75",12733,1176.55,-0.024432413375824247
171,11-Oct-2021,EQ,"1,199.30","1,211.20","1,159.00","1,176.55","1,161.70","1,162.10","1,175.58","1,390.00",660.0,181216,"213,034,717.65",11362,1162.1,-0.012357713973061735
172,12-Oct-2021,EQ,"1,185.00","1,220.00","1,150.00","1,162.10","1,208.95","1,208.35","1,190.25","1,390.00",660.0,418421,"498,023,644.60",18931,1208.35,0.039027079400161924
173,13-Oct-2021,EQ,"1,208.35","1,220.00","1,180.00","1,208.35","1,193.95","1,193.50","1,199.57","1,390.00",660.0,265060,"317,958,045.85",15506,1193.5,-0.012365625850105033
174,14-Oct-2021,EQ,"1,203.00","1,212.25","1,196.10","1,193.50","1,204.40","1,206.55","1,206.61","1,390.00",660.0,250393,"302,127,429.20",13389,1206.55,0.010874880615645566
175,18-Oct-2021,EQ,"1,221.00","1,237.00","1,200.10","1,206.55","1,203.00","1,203.65","1,216.80","1,390.00",678.0,254046,"309,122,716.25",14280,1203.65,-0.002406440460942072
176,19-Oct-2021,EQ,"1,210.00","1,214.40","1,170.10","1,203.65","1,183.20","1,181.35","1,192.38","1,390.00",678.0,176429,"210,369,956.75",14034,1181.35,-0.018700754624104476
177,20-Oct-2021,EQ,"1,195.00","1,210.00","1,122.30","1,181.35","1,184.95","1,179.15","1,182.63","1,390.00",678.0,241623,"285,750,256.10",14983,1179.15,-0.0018640124016089388
178,21-Oct-2021,EQ,"1,190.00","1,203.95","1,173.10","1,179.15","1,202.50","1,198.95","1,195.59","1,390.00",678.0,271740,"324,890,564.05",15059,1198.95,0.016652333832262833
179,22-Oct-2021,EQ,"1,200.90","1,210.00","1,177.00","1,198.95","1,202.95","1,202.15","1,195.51","1,390.00",678.0,301252,"360,149,000.60",22128,1202.15,0.0026654465824504925
180,25-Oct-2021,EQ,"1,212.00","1,212.00","1,148.55","1,202.15","1,203.80","1,202.40","1,187.75","1,390.00",701.1,218738,"259,806,044.10",14647,1202.4,0.00020793911617644767
181,26-Oct-2021,EQ,"1,188.00","1,199.80","1,172.00","1,202.40","1,175.50","1,179.95","1,183.20","1,390.00",701.1,138432,"163,792,651.10",14675,1179.95,-0.01884749475816605
182,27-Oct-2021,EQ,"1,190.00","1,211.00","1,180.10","1,179.95","1,202.00","1,206.10","1,199.00","1,390.00",701.1,381133,"456,979,691.15",16663,1206.1,0.021919948908598386
183,28-Oct-2021,EQ,"1,204.50","1,208.60","1,145.80","1,206.10","1,154.75","1,147.15","1,161.08","1,390.00",701.1,314777,"365,481,757.50",16098,1147.15,-0.050111408073026276
184,29-Oct-2021,EQ,"1,155.00","1,189.15","1,106.00","1,147.15","1,155.00","1,152.85","1,139.05","1,390.00",701.1,364243,"414,890,840.25",21436,1152.85,0.0049565318864512875
185,01-Nov-2021,EQ,"1,155.00","1,178.05","1,141.00","1,152.85","1,169.00","1,172.35","1,167.80","1,390.00",812.0,1215021,"1,418,898,158.25",28023,1172.35,0.016773143964122106
186,02-Nov-2021,EQ,"1,178.00","1,184.45","1,135.80","1,172.35","1,183.95","1,174.25","1,159.08","1,390.00",812.0,1638199,"1,898,806,294.50",44080,1174.25,0.0016193645403603796
187,03-Nov-2021,EQ,"1,175.00","1,220.00","1,162.40","1,174.25","1,215.15","1,204.50","1,181.38","1,390.00",812.0,1848796,"2,184,128,871.50",34714,1204.5,0.025434897147821545
188,04-Nov-2021,EQ,"1,215.00","1,224.80","1,195.10","1,204.50","1,202.00","1,200.40","1,207.22","1,390.00",812.0,37041,"44,716,767.20",3396,1200.4,-0.003409708488714358
189,08-Nov-2021,EQ,"1,224.35","1,235.00","1,201.00","1,200.40","1,223.00","1,226.00","1,211.88","1,390.00",854.4,1615093,"1,957,296,469.35",31240,1226.0,0.02110200292994513
190,09-Nov-2021,EQ,"1,215.00","1,235.00","1,203.05","1,226.00","1,219.10","1,230.80","1,223.55","1,390.00",854.4,2220381,"2,716,753,461.05",28982,1230.8,0.003907526951730134
191,10-Nov-2021,EQ,"1,223.00","1,232.40","1,206.80","1,230.80","1,222.00","1,228.85","1,224.41","1,390.00",854.4,1819508,"2,227,815,682.85",26917,1228.85,-0.0015855917781326667
192,11-Nov-2021,EQ,"1,231.95","1,248.00","1,211.50","1,228.85","1,231.00","1,230.80","1,225.59","1,390.00",854.4,1536247,"1,882,812,235.10",30771,1230.8,0.0015855917781326667
193,12-Nov-2021,EQ,"1,248.00","1,292.30","1,237.35","1,230.80","1,292.30","1,292.30","1,272.07","1,390.00",854.4,1685194,"2,143,691,021.35",53473,1292.3,0.04875921208325895
194,15-Nov-2021,EQ,"1,330.00","1,334.00","1,284.05","1,292.30","1,306.80","1,305.05","1,303.53","1,390.00",900.1,1955088,"2,548,520,937.05",53629,1305.05,0.0098177776679238
195,16-Nov-2021,EQ,"1,314.00","1,329.00","1,291.00","1,305.05","1,304.00","1,314.35","1,308.78","1,390.00",900.1,2043814,"2,674,910,765.65",36824,1314.35,0.0071008926300226705
196,17-Nov-2021,EQ,"1,305.00","1,358.30","1,294.00","1,314.35","1,297.00","1,313.50","1,320.36","1,390.00",900.1,2180190,"2,878,632,013.55",47525,1313.5,-0.0006469167034977019
197,18-Nov-2021,EQ,"1,299.80","1,355.00","1,292.40","1,313.50","1,344.00","1,345.75","1,325.10","1,390.00",900.1,2032876,"2,693,763,968.70",38818,1345.75,0.02425614831547218
198,22-Nov-2021,EQ,"1,358.00","1,367.90","1,321.25","1,345.75","1,327.05","1,340.95","1,338.49","1,390.00",900.1,2725159,"3,647,610,423.35",51024,1340.95,-0.00357316046226952
199,23-Nov-2021,EQ,"1,329.45","1,407.95","1,309.30","1,340.95","1,407.95","1,407.05","1,354.01","1,407.95",900.1,3017882,"4,086,238,206.10",41824,1407.05,0.04811699610688258
200,24-Nov-2021,EQ,"1,420.00","1,429.00","1,370.00","1,407.05","1,381.10","1,391.35","1,406.33","1,429.00",900.1,3007303,"4,229,255,554.70",54744,1391.35,-0.011220815271284934
201,25-Nov-2021,EQ,"1,394.80","1,418.70","1,370.00","1,391.35","1,404.55","1,405.05","1,400.68","1,429.00",900.1,1430455,"2,003,607,843.40",31572,1405.05,0.009798390508853672
202,26-Nov-2021,EQ,"1,371.05","1,403.90","1,346.05","1,405.05","1,366.00","1,372.55","1,377.35","1,429.00",900.1,1609398,"2,216,697,209.10",45037,1372.55,-0.023402565730619607
203,29-Nov-2021,EQ,"1,346.00","1,364.80","1,303.95","1,372.55","1,345.00","1,352.75","1,330.44","1,429.00",900.1,424967,"565,393,362.00",26805,1352.75,-0.014530766069784207
204,30-Nov-2021,EQ,"1,349.00","1,414.00","1,285.15","1,352.75","1,285.15","1,295.40","1,322.16","1,429.00",900.1,1651907,"2,184,085,831.00",46276,1295.4,-0.04332002977402816
205,01-Dec-2021,EQ,"1,235.00","1,336.80","1,235.00","1,295.40","1,322.10","1,328.60","1,305.57","1,429.00",900.1,1225618,"1,600,128,729.00",70083,1328.6,0.025306228482324222
206,02-Dec-2021,EQ,"1,338.00","1,370.00","1,317.00","1,328.60","1,349.45","1,341.60","1,341.56","1,429.00",900.1,454785,"610,122,033.15",33832,1341.6,0.009737175277858334
207,03-Dec-2021,EQ,"1,349.45","1,395.95","1,341.85","1,341.60","1,389.90","1,389.65","1,382.35","1,429.00",900.1,921744,"1,274,174,778.60",25055,1389.65,0.03518898534800652
208,06-Dec-2021,EQ,"1,398.30","1,415.00","1,360.10","1,389.65","1,386.05","1,378.70","1,398.08","1,429.00",900.1,516587,"722,230,514.15",27207,1378.7,-0.007910890679422522
209,07-Dec-2021,EQ,"1,398.00","1,414.00","1,371.00","1,378.70","1,388.00","1,389.70","1,389.69","1,429.00",900.1,796718,"1,107,193,158.15",25791,1389.7,0.007946870314953003
210,08-Dec-2021,EQ,"1,368.05","1,409.00","1,368.05","1,389.70","1,391.00","1,390.50","1,391.37","1,429.00",900.1,727977,"1,012,883,998.00",18965,1390.5,0.0005754981814831694
211,09-Dec-2021,EQ,"1,400.00","1,410.00","1,381.00","1,390.50","1,390.00","1,390.10","1,390.24","1,429.00",900.1,668010,"928,695,024.70",15566,1390.1,-0.0002877076909726384
212,10-Dec-2021,EQ,"1,395.00","1,410.00","1,381.35","1,390.10","1,386.00","1,388.90","1,392.24","1,429.00",900.1,757777,"1,055,008,091.40",16317,1388.9,-0.0008636200608735933
213,13-Dec-2021,EQ,"1,430.00","1,474.85","1,365.40","1,388.90","1,372.95","1,385.95","1,408.20","1,474.85",900.1,1184987,"1,668,701,416.50",29767,1385.95,-0.002126241859119915
214,14-Dec-2021,EQ,"1,388.00","1,454.85","1,388.00","1,385.95","1,440.00","1,436.35","1,430.23","1,474.85",900.1,949575,"1,358,113,939.20",46186,1436.35,0.03571934843768254
215,15-Dec-2021,EQ,"1,450.00","1,468.65","1,425.35","1,436.35","1,440.00","1,439.25","1,450.83","1,474.85",900.1,457324,"663,497,338.35",33900,1439.25,0.00201697105518317
216,16-Dec-2021,EQ,"1,458.00","1,469.00","1,395.20","1,439.25","1,398.80","1,402.25","1,429.40","1,474.85",900.1,508315,"726,586,059.95",28701,1402.25,-0.02604405516747299
217,17-Dec-2021,EQ,"1,405.00","1,428.45","1,375.00","1,402.25","1,414.50","1,413.25","1,397.57","1,474.85",900.1,1210610,"1,691,911,428.45",26631,1413.25,0.007813927166954393
218,20-Dec-2021,EQ,"1,410.00","1,410.00","1,322.55","1,413.25","1,372.00","1,369.50","1,366.97","1,474.85",900.1,608784,"832,190,090.15",23705,1369.5,-0.0314463068522679
219,21-Dec-2021,EQ,"1,385.00","1,406.45","1,377.05","1,369.50","1,389.65","1,383.15","1,385.37","1,474.85",900.1,653263,"905,011,944.85",13248,1383.15,0.009917796950126956
220,22-Dec-2021,EQ,"1,396.10","1,410.00","1,375.00","1,383.15","1,410.00","1,403.10","1,393.77","1,474.85",900.1,663073,"924,170,609.25",17964,1403.1,0.014320567746690216
221,23-Dec-2021,EQ,"1,424.00","1,439.75","1,389.10","1,403.10","1,430.00","1,422.05","1,409.26","1,474.85",900.1,380538,"536,278,015.15",32786,1422.05,0.013415418089099518
222,24-Dec-2021,EQ,"1,425.00","1,429.65","1,380.10","1,422.05","1,382.10","1,385.40","1,390.76","1,474.85",900.1,674141,"937,566,033.70",9272,1385.4,-0.02611058590054416
223,27-Dec-2021,EQ,"1,388.90","1,392.65","1,370.45","1,385.40","1,377.70","1,375.50","1,378.16","1,474.85",900.1,443450,"611,144,817.35",6726,1375.5,-0.007171605223875943
224,28-Dec-2021,EQ,"1,386.00","1,403.85","1,381.75","1,375.50","1,397.95","1,398.80","1,394.69","1,474.85",900.1,525392,"732,757,637.65",11197,1398.8,0.0167974248245919
225,29-Dec-2021,EQ,"1,398.50","1,407.35","1,382.60","1,398.80","1,393.95","1,392.65","1,393.22","1,474.85",900.1,304195,"423,811,961.35",6875,1392.65,-0.004406319260970015
226,30-Dec-2021,EQ,"1,385.05","1,396.85","1,295.00","1,392.65","1,310.00","1,311.05","1,334.84","1,474.85",900.1,866537,"1,156,689,019.95",32010,1311.05,-0.060380064066493766
227,31-Dec-2021,EQ,"1,325.10","1,340.80","1,311.05","1,311.05","1,330.00","1,330.25","1,327.28","1,474.85",900.1,235438,"312,491,529.25",15352,1330.25,0.014538551614720951
228,03-Jan-2022,EQ,"1,340.00","1,356.20","1,336.90","1,330.25","1,345.60","1,346.90","1,347.83","1,474.85",900.1,130549,"175,957,568.70",9969,1346.9,0.012438761128290565
229,04-Jan-2022,EQ,"1,357.00","1,375.00","1,340.00","1,346.90","1,370.00","1,366.70","1,360.35","1,474.85",900.1,192988,"262,530,613.00",12575,1366.7,0.014593419365986016
230,05-Jan-2022,EQ,"1,366.70","1,408.30","1,366.70","1,366.70","1,405.00","1,399.65","1,392.40","1,474.85",900.1,394705,"549,587,603.65",22738,1399.65,0.023823130377385482
231,06-Jan-2022,EQ,"1,400.00","1,419.80","1,379.65","1,399.65","1,415.05","1,409.80","1,399.80","1,474.85",900.1,212678,"297,706,776.50",13970,1409.8,0.007225644991635249
232,07-Jan-2022,EQ,"1,427.80","1,429.00","1,403.00","1,409.80","1,425.20","1,423.10","1,419.74","1,474.85",900.1,285809,"405,773,851.30",15396,1423.1,0.00938974034983886
233,10-Jan-2022,EQ,"1,405.00","1,453.00","1,405.00","1,423.10","1,438.25","1,438.90","1,432.13","1,474.85",900.1,275337,"394,319,684.70",14062,1438.9,0.011041342079757044
234,11-Jan-2022,EQ,"1,448.00","1,582.75","1,432.00","1,438.90","1,582.75","1,567.95","1,527.80","1,582.75",900.1,1351146,"2,064,285,624.40",68319,1567.95,0.08589010087745397
235,12-Jan-2022,EQ,"1,599.00","1,667.00","1,567.00","1,567.95","1,639.00","1,647.55","1,624.37","1,667.00",900.1,2070560,"3,363,348,150.95",121194,1647.55,0.04952030228297222
236,13-Jan-2022,EQ,"1,650.00","1,684.40","1,588.00","1,647.55","1,647.00","1,661.80","1,642.25","1,684.40",900.1,940202,"1,544,044,333.50",61117,1661.8,0.008612016301083436
237,14-Jan-2022,EQ,"1,657.00","1,720.50","1,637.05","1,661.80","1,690.00","1,697.95","1,678.98","1,720.50",900.1,656706,"1,102,595,533.00",30167,1697.95,0.02152028879931933
238,17-Jan-2022,EQ,"1,706.45","1,854.00","1,698.40","1,697.95","1,827.00","1,835.30","1,802.78","1,854.00",920.1,1670969,"3,012,395,432.40",80797,1835.3,0.07778631483422593
239,18-Jan-2022,EQ,"1,850.00","1,923.90","1,828.50","1,835.30","1,916.90","1,900.10","1,888.08","1,923.90",920.1,1797857,"3,394,504,675.85",102322,1900.1,0.034698560484059726
240,19-Jan-2022,EQ,"1,930.00","1,950.00","1,905.05","1,900.10","1,944.00","1,938.45","1,935.09","1,950.00",920.1,1100995,"2,130,523,009.45",62557,1938.45,0.019982168290823665
241,20-Jan-2022,EQ,"1,948.15","1,979.30","1,945.00","1,938.45","1,969.00","1,966.70","1,963.18","1,979.30",920.1,644709,"1,265,677,523.95",37255,1966.7,0.014468326595298286
242,21-Jan-2022,EQ,"1,973.00","1,986.75","1,875.00","1,966.70","1,949.05","1,934.55","1,921.91","1,986.75",920.1,827055,"1,589,524,268.95",48523,1934.55,-0.01648226995609825
243,24-Jan-2022,EQ,"1,946.25","1,946.25","1,837.85","1,934.55","1,837.85","1,837.85","1,879.48","1,986.75",981.3,449371,"844,581,657.45",28311,1837.85,-0.05127833113932834
244,25-Jan-2022,EQ,"1,782.70","1,929.70","1,746.00","1,837.85","1,929.70","1,929.00","1,880.69","1,986.75",981.3,620114,"1,166,240,862.15",37872,1929.0,0.0484053237665476
245,27-Jan-2022,EQ,"1,900.00","1,964.70","1,885.05","1,929.00","1,903.00","1,910.25","1,924.64","1,986.75",981.3,379757,"730,894,362.50",29654,1910.25,-0.009767610378053071
246,28-Jan-2022,EQ,"1,945.00","1,957.00","1,904.95","1,910.25","1,936.00","1,938.40","1,938.54","1,986.75",981.3,352835,"683,983,036.00",25059,1938.4,0.014628766974640328
247,31-Jan-2022,EQ,"1,957.00","1,964.90","1,863.90","1,938.40","1,871.00","1,877.85","1,916.68","1,986.75",990.0,297221,"569,678,851.45",29585,1877.85,-0.031735385128535576
